State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",748,973,1236,1763,2189,FL,1748066
12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",776,945,1211,1662,1941,FL,2496435
12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",738,947,1183,1597,1907,FL,1320134
12,METRO34940M34940,"Naples-Marco Island, FL MSA",779,896,1116,1457,1795,FL,321520
12,METRO35840M35840,"North Port-Bradenton-Sarasota, FL MSA",722,803,1027,1376,1616,FL,702281
12,METRO36100M36100,"Ocala, FL MSA",556,688,863,1163,1167,FL,331298
12,METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",739,874,1042,1390,1681,FL,2134411
12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",571,746,924,1279,1522,FL,543376
12,METRO37380M37380,"Palm Coast, FL MSA",759,851,1110,1445,1586,FL,95696
12,METRO37460M37460,"Panama City-Lynn Haven-Panama City Beach, FL MSA",774,823,976,1329,1679,FL,168852
12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",617,703,834,1124,1458,FL,448991
12,METRO38940M38940,"Port St. Lucie, FL MSA",727,806,998,1372,1617,FL,424107
12,METRO39460M39460,"Punta Gorda, FL MSA",545,718,916,1301,1306,FL,159978
12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",599,742,925,1244,1249,FL,138028
